Token,Index
心理医生,"[['2082194'], []]"
心理治疗,"[['1775691', '1965977', '2340100'], ['2340100']]"
心理咨询,"[['1004322', '1005521', '1005660', '1008074', '1008145', '1011754', '1011977', '1012032', '1013225', '1014561', '1015584', '1017143', '1023045', '1023709', '1025336', '1027587', '1033825', '1034282', '1039840', '1049361', '1051363', '1057244', '1059112', '1064271', '1069059', '1075492', '1075743', '1080309', '1082584', '1088065', '1088581', '1433379', '1465324', '1485225', '1775691', '1786670', '1803022', '1859649', '2026939', '2033081', '2042966', '2052596', '2081509', '2136484', '4886245', '5275059'], ['1005660', '1011754', '1013225', '1017143', '1025336', '1034282', '1051363', '1064271', '1075743', '1088065', '1465324', '1786670', '2026939', '2052596', '4886245']]"
心恋,"[['1056868', '1949925', '3597938'], ['3597938']]"
心疗,"[['2250587'], []]"
心琳,"[['1003000', '1006073', '1016523', '1058234'], ['1016523']]"
心灵鸡汤,"[['1021056', '1026655', '1358873', '1427679', '1436707', '1529893', '1775691', '1931318', '2193877', '2194123', '2340100', '3311009', '4741216'], ['1358873', '1529893', '2193877', '3311009']]"
心灵美,"[['1084336', '1794620'], []]"
心路历程,"[['2275502'], []]"
心漫書,"[['1855531', '1999037', '2360269'], ['2360269']]"
心漫畫,"[['1346815'], []]"
心猫国,"[['3316422'], []]"
心臟,"[['1012032', '1026035', '1027587', '1050743', '1201821', '1424741', '2008284'], ['1027587', '1424741']]"
心窍,"[['1000445', '1012203', '1012611', '1013208', '1036541', '1041482', '1049522', '1052203', '1056023', '1062193', '1089243', '1324985', '1427679', '1794202', '1819974', '2033081', '2081876', '3223711', '3886010'], ['1012611', '1041482', '1056023', '1324985', '1819974', '3223711']]"
心情,"[['1005521', '1006560', '1006881', '1007334', '1008732', '1009160', '1012802', '1015452', '1015584', '1016523', '1017143', '1017563', '1018153', '1019485', '1020241', '1020670', '1021056', '1022060', '1022238', '1025243', '1025336', '1025753', '1026425', '1027247', '1029111', '1029159', '1030052', '1031575', '1034108', '1035362', '1035614', '1045818', '1046265', '1046385', '1049219', '1050339', '1056461', '1057197', '1058234', '1058661', '1059406', '1062134', '1063190', '1063245', '1065970', '1068920', '1069628', '1074841', '1075492', '1075538', '1078554', '1079680', '1080370', '1080812', '1082154', '1084336', '1085860', '1087145', '1090043', '1119796', '1213945', '1223575', '1227838', '1310164', '1312333', '1336968', '1346815', '1361263', '1361264', '1364773', '1418707', '1424741', '1433659', '1440089', '1453210', '1459149', '1460313', '1461903', '1464716', '1465324', '1529893', '1767388', '1770782', '1775691', '1777823', '1793132', '1794333', '1794620', '1822793', '1856285', '1862115', '1887754', '1903968', '1908517', '1915536', '1919072', '1926700', '1949925', '1963310', '1965977', '1999037', '2034893', '2053249', '2064450', '2070012', '2081876', '2119843', '2133556', '2139305', '2154960', '2250587', '2256438', '2339950', '2382705', '3009033', '3014576', '3103080', '3108829', '3124525', '3577218', '3616310', '3622904', '4886245'], ['1006881', '1009160', '1015584', '1017563', '1020241', '1022060', '1025336', '1027247', '1030052', '1035362', '1046265', '1050339', '1058234', '1062134', '1065970', '1074841', '1078554', '1080812', '1085860', '1119796', '1227838', '1336968', '1361264', '1424741', '1453210', '1461903', '1529893', '1775691', '1794333', '1856285', '1903968', '1919072', '1963310', '2034893', '2070012', '2133556', '2250587', '2382705', '3103080', '3577218', '4886245']]"
心情随笔,"[['2382705'], []]"
心情阴郁,"[['1949925'], []]"
心日安,"[['1455933'], []]"
心伤,"[['1024217', '1090043'], []]"
心史,"[['1442620', '1465324', '2082194', '2160292'], ['2082194']]"
心事,"[['1008145', '1012747', '1030470', '1439216', '3259440', '3311009'], ['1030470', '3311009']]"
心是,"[['1030052', '1424741'], []]"
心水,"[['1009257', '1017749', '1020459', '1025723', '1029791', '1048610', '1051193', '1060723', '1081422', '1084336', '1192090', '1291809', '1292416', '1382829', '1453210', '1703544', '1829226', '2056749', '2194123', '2297697', '2971734'], ['1020459', '1048610', '1081422', '1291809', '1453210', '2056749', '2971734']]"
心水爱,"[['1020459'], []]"
心水待,"[['1081422'], []]"
心水华,"[['1025723', '1192090'], []]"
心水外,"[['2971734'], []]"
心水有,"[['1009257'], []]"
心水杂,"[['1703544', '1829226', '2297697'], ['2297697']]"
心水關,"[['1084336'], []]"
心痛,"[['1051363', '1057244', '1058234', '1076654', '1361263', '1401425', '1461903', '2115040', '3995526'], ['1058234', '1401425', '3995526']]"
心洋,"[['1021615'], []]"
心一脉,"[['1007305'], []]"
心有,"[['1020459', '1030052', '1063190', '1902628', '2256438'], ['1063190']]"
心语,"[['2133254'], []]"
心在,"[['1056733', '4714734', '5292912'], ['5292912']]"
心之憂,"[['1032501', '1476651', '3908032'], ['3908032']]"
心之所,"[['1017143', '1035362', '1068920', '1083762', '1283273', '1453210', '1465324', '5275059'], ['1068920', '1453210']]"
心只,"[['1440089'], []]"
心智,"[['1005193', '1012611', '1013208', '1026425', '1033190', '1048007', '1056295', '1069885', '1427679', '1775691', '1794844', '1858576', '2008284', '2119843', '2133074', '2194123', '2256039', '2340100', '2363651', '3123393', '3266968', '3323987', '3609132', '3622904', '4238362'], ['1013208', '1048007', '1427679', '1858576', '2133074', '2340100', '3266968', '3622904']]"
心治之书,"[['1084336'], []]"
心靈,"[['1030052', '1079252', '1931318', '2340100', '3123393', '3622904'], ['1931318', '3622904']]"
信岛,"[['1227838'], []]"
信封,"[['1941301'], []]"
信箋,"[['1316648'], []]"
信宏,"[['1061118', '1823349'], []]"
信集,"[['1069685', '1316648'], []]"
信件,"[['1027191', '1069685', '3071717', '3369793'], ['3071717']]"
信任,"[['1001885', '1003284', '1008145', '1010204', '1011754', '1012802', '1013416', '1014578', '1014825', '1015403', '1016523', '1016806', '1017749', '1018153', '1020241', '1024217', '1027191', '1029159', '1029791', '1030052', '1030470', '1032945', '1034108', '1044316', '1045926', '1046265', '1047138', '1047719', '1049348', '1050339', '1054889', '1056315', '1058234', '1058661', '1059336', '1063190', '1065970', '1069685', '1069848', '1072319', '1074841', '1075495', '1080370', '1080812', '1081422', '1082154', '1082369', '1083428', '1083762', '1084336', '1087145', '1088743', '1141406', '1159939', '1205373', '1223575', '1262986', '1312333', '1316648', '1324985', '1401425', '1401841', '1426971', '1529893', '1762869', '1794844', '1848256', '1856285', '1859140', '1863930', '1903968', '1906681', '1926700', '1963310', '1980436', '2143304', '2214344', '2256438', '2257188', '2339950', '2382705', '2980812', '2988943', '3033668', '3071717', '3080607', '3103080', '3259440', '3335362', '3369600', '3369793', '3547099', '3615061', '3886010', '3995526', '4010969', '4238362', '5289756'], ['1008145', '1012802', '1014825', '1016806', '1020241', '1029159', '1030470', '1044316', '1047138', '1050339', '1058234', '1063190', '1069848', '1075495', '1081422', '1083428', '1087145', '1159939', '1262986', '1324985', '1426971', '1794844', '1859140', '1906681', '1980436', '2256438', '2382705', '3033668', '3103080', '3369600', '3615061', '4010969']]"
信日系,"[['3890174'], []]"
信息技术,"[['1867642'], []]"
信息时代,"[['1919072'], []]"
信心,"[['1003000', '1022060', '1030054', '1064275', '1336968', '1829226', '2081876'], ['1030054', '1829226']]"
信艳,"[['1057206'], []]"
信仰,"[['1000445', '1005918', '1010204', '1010472', '1013225', '1017143', '1022060', '1027247', '1029111', '1035362', '1040771', '1044547', '1045818', '1049584', '1050339', '1059406', '1059537', '1082334', '1082387', '1084336', '1085799', '1092149', '1119839', '1205054', '1228110', '1389960', '1400705', '1441869', '1456524', '1529893', '1752755', '1770782', '1803022', '1851385', '1859649', '1878708', '1902628', '1963786', '2136484', '2143732', '2240482', '3266345', '3316422', '3597938', '3905366', '5275059'], ['1010204', '1017143', '1029111', '1044547', '1050339', '1082334', '1085799', '1205054', '1400705', '1529893', '1803022', '1878708', '2136484', '3266345', '3905366']]"
信仰危机,"[['1044547'], []]"
信亦舒,"[['1322248'], []]"
信谊,"[['1433640'], []]"
信者,"[['1011754', '1529893', '1770782', '1803022'], ['1770782']]"
信纸,"[['1316648'], []]"
星伴,"[['1071241'], []]"
星辰,"[['1003078', '1006770', '1015398', '1015452', '1016486', '1025336', '1030366', '1037954', '1047447', '1052360', '1052828', '1057197', '1060117', '1064828', '1066165', '1079440', '1080544', '1084336', '1092149', '1291809', '1346815', '1794620', '1851385', '1863930', '1884249', '1915536', '1949121', '2042063', '2133074', '2286313'], ['1015398', '1025336', '1047447', '1057197', '1066165', '1084336', '1346815', '1863930', '1949121', '2286313']]"
星驰,"[['1212893'], []]"
星读,"[['1975797'], []]"
星儿,"[['1004992', '1013225', '1015584', '1017143', '1017818', '1019428', '1020670', '1023045', '1031740', '1039752', '1047851', '1052203', '1080544', '1081422', '1082150', '1082154', '1082387', '1082518', '1084336', '1089243', '1291809', '1424741', '1468393', '1856025', '1860750', '1863930', '1963912', '3608170', '4173403'], ['1015584', '1019428', '1031740', '1052203', '1082150', '1082518', '1291809', '1856025', '1963912']]"
星给,"[['3335362'], []]"
星级,"[['1192090', '2567698', '3066477'], ['3066477']]"
星空,"[['1389960'], []]"
星期二,"[['1026655', '2193877', '2194123'], ['2194123']]"
星期日,"[['1016003', '1026655', '1051663', '1291355', '1324985', '1926700', '2143304', '2193877', '2194123', '2256039', '3274851', '4872671'], ['1051663', '1926700', '2194123', '4872671']]"
星期五,"[['1016003'], []]"
星矢,"[['1581547'], []]"
星艺学,"[['1481362', '1581547'], []]"
星月,"[['1082334'], []]"
星云,"[['1140727', '1161852', '1192090', '5363767'], ['1192090']]"
星座,"[['1024217', '1037602', '1227838', '1581547', '1915536', '3908032'], ['1227838', '3908032']]"
星姣,"[['2033081'], []]"
腥,"[['1001896', '1043485', '1292416', '1458186', '1458188', '1485495', '2381950'], ['1292416', '1485495']]"
猩照,"[['2359212'], []]"
兴趣,"[['1003284', '1005521', '1007433', '1007914', '1007928', '1008732', '1010472', '1012203', '1012489', '1012611', '1012637', '1012747', '1013380', '1013502', '1015584', '1015767', '1016003', '1016523', '1017839', '1020128', '1020959', '1021056', '1022238', '1029791', '1030052', '1030469', '1031575', '1031741', '1032645', '1035848', '1036243', '1039460', '1040211', '1041482', '1043008', '1043579', '1045818', '1046209', '1046265', '1047138', '1050743', '1052360', '1054685', '1057244', '1057601', '1058234', '1058679', '1061118', '1061242', '1062193', '1063190', '1064271', '1064862', '1066462', '1069848', '1077847', '1079680', '1082334', '1083428', '1083474', '1085799', '1085860', '1119528', '1143694', '1151873', '1180102', '1180108', '1203244', '1205054', '1207819', '1213546', '1213945', '1292416', '1310164', '1329941', '1337279', '1346815', '1369777', '1370274', '1388169', '1392604', '1394253', '1401795', '1418297', '1421921', '1427788', '1431836', '1433379', '1433700', '1436348', '1440468', '1440589', '1441241', '1442678', '1442680', '1448761', '1449352', '1452610', '1456831', '1464989', '1465324', '1467333', '1473250', '1474773', '1529893', '1758767', '1767388', '1770782', '1781120', '1791390', '1794202', '1794620', '1794844', '1803022', '1819974', '1844629', '1855531', '1867064', '1867642', '1873231', '1902628', '1906681', '1914636', '1937939', '1939182', '1949121', '1949338', '1959786', '1964044', '1965977', '1968643', '1999037', '2030664', '2034893', '2036345', '2052448', '2052596', '2067299', '2118032', '2131415', '2240482', '2253642', '2257188', '2377002', '2988943', '3000997', '3033668', '3181927', '3315879', '3392046', '3394338', '3597938', '3776157', '3786755', '3801097', '4113090', '4149893', '4618225'], ['1007433', '1008732', '1012489', '1012747', '1015584', '1016523', '1020959', '1029791', '1031575', '1035848', '1040211', '1043579', '1046265', '1052360', '1057601', '1061118', '1063190', '1066462', '1079680', '1083474', '1119528', '1180102', '1205054', '1213945', '1329941', '1369777', '1392604', '1418297', '1431836', '1436348', '1441241', '1448761', '1456831', '1467333', '1529893', '1770782', '1794202', '1803022', '1855531', '1873231', '1914636', '1949121', '1964044', '1999037', '2036345', '2067299', '2240482', '2377002', '3033668', '3392046', '3776157', '4113090']]"
兴衰史,"[['1005492'], []]"
刑罚,"[['1043485'], []]"
刑讯,"[['1419736', '1467776', '2154960'], ['2154960']]"
型號,"[['1021056', '1050339'], []]"
形態,"[['2294740'], []]"
形而上,"[['1011662', '1015452', '1019428', '1020959', '1031740', '1039752', '1046265', '4742918', '4885241'], ['1019428', '1039752', '4885241']]"
形容词,"[['1001136', '1001193', '1007914', '1013248', '1017563', '1026317', '1033190', '1036274', '1046209', '1056733', '1061367', '1066462', '1069885', '1070441', '1079680', '1227838', '1291760', '1361249', '1367964', '1368256', '1431836', '1441707', '1758767', '1761056', '1770782', '1794620', '1794844', '1823349', '1905830', '1915536', '1917078', '1986590', '2008284', '2082194', '2143732', '2154079', '2193877', '3554154', '4714734'], ['1007914', '1026317', '1046209', '1066462', '1079680', '1361249', '1431836', '1761056', '1794844', '1915536', '2008284', '2154079', '4714734']]"
形学,"[['1040771'], []]"
形与,"[['3259440'], []]"
形状,"[['1003284', '1006560', '1015452', '1017818', '1023045', '1029791', '1039752', '1049348', '1049584', '1073708', '1077528', '1079440', '1082154', '1082518', '1089509', '1089510', '1089511', '1089512', '1089515', '1089517', '1089518', '1089521', '1089523', '1090043', '1255288', '1264579', '1291355', '1422833', '1453210', '1464989', '1704006', '1777823', '1848256', '1985223', '2052596', '2294740', '3333989', '4872671'], ['1015452', '1029791', '1049584', '1079440', '1089509', '1089512', '1089518', '1090043', '1291355', '1464989', '1848256', '2294740']]"
形作,"[['1318427'], []]"
行波,"[['1827374'], []]"
行大一,"[['1048537', '1061367'], []]"
行道,"[['1729284'], []]"
行绘,"[['1358413'], []]"
行活,"[['1401425'], []]"
行记,"[['1054889', '1063190', '1529893', '3905366'], ['1529893']]"
行记佛,"[['1902628'], []]"
行间,"[['1008145', '1054685', '1096790', '1400705', '2026939', '2081509', '4886245'], ['1096790', '2081509']]"
行空,"[['1013129', '1370274', '1418686', '1939182', '2042966'], ['1418686']]"
行礼,"[['1007305', '1008145', '1012032', '1013416', '1013502', '1017143', '1017841', '1027587', '1029553', '1032431', '1045352', '1045466', '1047138', '1052203', '1052360', '1052828', '1057244', '1058661', '1058679', '1059112', '1064828', '1084336', '1213546', '1270508', '1400705', '1449351', '1868698'], ['1012032', '1017143', '1029553', '1045466', '1052360', '1058661', '1064828', '1270508', '1868698']]"
行列,"[['1017143', '1040771', '2267630', '3006581', '3211779', '3259440', '3347997', '4010196', '4171951'], ['2267630', '3259440', '4171951']]"
行囊,"[['1050339', '1441869', '1529893', '1878708'], ['1529893']]"
行万里路,"[['1223575'], []]"
行为,"[['1005576', '1012611', '1016204', '1017143', '1022238', '1032501', '1082154', '1213546', '1401425', '1439894', '1456034', '1476651', '1786387', '1919072', '2380307', '3000997', '3223711', '3908032'], ['1016204', '1032501', '1401425', '1476651', '2380307', '3908032']]"
行为学,"[['1005576', '1012611', '1016204', '3223711', '3908032'], ['1016204']]"
行为艺术,"[['1456034'], []]"
行笑,"[['1151873'], []]"
行星,"[['1884249', '2086633'], []]"
行业,"[['1003284', '1059769', '1220853', '1427679', '1433050', '1441853', '1941558', '2348372', '4242172'], ['1220853', '1441853', '4242172']]"
行云,"[['1082522'], []]"
行政,"[['1027191', '1070711', '2256039'], ['2256039']]"
行政助理,"[['2256039'], []]"
行至,"[['1030470'], []]"
行状,"[['1212080'], []]"
醒,"[['1003078', '1005660', '1007305', '1009459', '1013380', '1013502', '1016523', '1017143', '1021615', '1029159', '1030052', '1035477', '1043008', '1046265', '1048610', '1058234', '1063190', '1065970', '1066462', '1082518', '1083428', '1084336', '1085860', '1141406', '1152701', '1205370', '1361264', '1396339', '1400705', '1400707', '1424741', '1465324', '1529893', '1770782', '1948901', '1986590', '2056749', '2057285', '2180619', '2298149', '3266344', '3800166'], ['1007305', '1013502', '1021615', '1035477', '1048610', '1065970', '1083428', '1141406', '1361264', '1400707', '1529893', '1986590', '2180619', '3800166']]"
醒悟,"[['1004322', '1004956', '1005193', '1006073', '1007334', '1008988', '1016523', '1021056', '1023045', '1023500', '1029159', '1030052', '1030054', '1049354', '1049477', '1056295', '1056461', '1065970', '1069885', '1082154', '1084336', '1090043', '1322320', '1346815', '1358873', '1367458', '1382836', '1394536', '1424741', '1456597', '1529893', '1794620', '1794844', '1859649', '1860750', '1868786', '1878708', '1903968', '1916726', '1917972', '1962923', '1968643', '2008972', '2032117', '2042907', '2194123', '2256438', '2265995', '2340100', '2359003', '3087020', '3266345', '3266968', '3369600', '3369793', '3642673', '3813669', '3886010', '3905366', '3995526', '4159088'], ['1005193', '1008988', '1023045', '1030052', '1049477', '1065970', '1084336', '1346815', '1382836', '1456597', '1794844', '1868786', '1916726', '1968643', '2042907', '2265995', '3087020', '3369600', '3813669', '3995526']]"
幸福,"[['1001377', '1016631', '1021425', '1049354', '1056733', '1066462', '1322342', '1367964', '1761056', '1887754', '3108829', '3699108'], ['1021425', '1066462', '1761056', '3699108']]"
幸运儿,"[['1061367', '1470133'], []]"
性爱,"[['1424741', '1458164', '1753798', '2139305', '5289756'], ['1753798']]"
性别,"[['1004322', '1014278', '1016523', '1017818', '1029111', '1059537', '1090043', '1125186', '1223845', '1261153', '1340986', '1361264', '1388169', '1394433', '1456034', '1458164', '1459149', '1465324', '1794202', '1915337', '2034893', '2143304'], ['1016523', '1059537', '1223845', '1361264', '1456034', '1465324', '2034893']]"
性别差异,"[['1223845'], []]"
性不恶,"[['1029159'], []]"
性冲动,"[['1046265'], []]"
性读,"[['1016486'], []]"
性格,"[['1001204', '1002299', '1003000', '1004992', '1005193', '1005576', '1005918', '1006560', '1007305', '1007334', '1007433', '1007914', '1008074', '1008145', '1008732', '1008988', '1009257', '1009931', '1010204', '1010472', '1012039', '1012637', '1013502', '1014278', '1014578', '1015584', '1016003', '1016204', '1016300', '1016486', '1017143', '1017563', '1018136', '1018153', '1018577', '1019568', '1020241', '1020670', '1020959', '1022060', '1022238', '1022632', '1024197', '1024854', '1025723', '1025753', '1026317', '1026655', '1027191', '1027247', '1029111', '1029791', '1030366', '1031741', '1035477', '1035614', '1037954', '1039752', '1039840', '1040771', '1041007', '1041482', '1043008', '1043485', '1043815', '1044663', '1045466', '1045818', '1046265', '1047138', '1048007', '1048610', '1049688', '1051163', '1051797', '1054685', '1054917', '1056295', '1057244', '1059336', '1059419', '1059537', '1061118', '1061367', '1061977', '1062134', '1064275', '1067907', '1068920', '1069059', '1069685', '1069848', '1070851', '1071794', '1075492', '1075495', '1076045', '1078250', '1078554', '1080309', '1080370', '1082138', '1082154', '1082162', '1082334', '1082406', '1082518', '1082522', '1083428', '1083477', '1084082', '1084336', '1085021', '1085799', '1085860', '1086249', '1088022', '1088065', '1088581', '1089243', '1090043', '1092335', '1096790', '1101607', '1119522', '1125186', '1140727', '1141406', '1143694', '1151876', '1159939', '1180102', '1180108', '1186350', '1200840', '1205054', '1205370', '1205372', '1205394', '1212080', '1220853', '1228110', '1255288', '1261153', '1279212', '1283273', '1292416', '1317301', '1321789', '1324985', '1329941', '1361264', '1400707', '1401425', '1417905', '1419736', '1422833', '1424741', '1427302', '1427825', '1428691', '1433700', '1440345', '1440468', '1442678', '1449351', '1452610', '1458164', '1458186', '1459149', '1460313', '1465324', '1467776', '1473250', '1485495', '1529893', '1703544', '1767388', '1770782', '1775691', '1786387', '1786670', '1794620', '1829226', '1848256', '1851385', '1856025', '1858513', '1858576', '1859140', '1859649', '1860750', '1867064', '1873231', '1917078', '1917972', '1926700', '1927902', '1963786', '1970428', '2026939', '2032117', '2033081', '2035162', '2035179', '2053249', '2056749', '2081876', '2119843', '2133254', '2139305', '2143304', '2143732', '2154079', '2180619', '2194123', '2214344', '2214350', '2243213', '2256039', '2256438', '2257188', '2265995', '2275502', '2309689', '2340100', '2363651', '2377012', '2380307', '2567698', '3012517', '3055316', '3067169', '3073494', '3080607', '3102324', '3211779', '3223711', '3259440', '3266345', '3266968', '3274851', '3315879', '3323987', '3335362', '3344676', '3442373', '3537590', '3608235', '3609132', '3610550', '3615061', '3616310', '3642673', '3646172', '3683898', '3865832', '3886010', '3890174', '3905366', '3995526', '4009552', '4010969', '4011440', '4011670', '4074636', '4112874', '4124727', '4173403', '4238362', '4238754', '4242172', '4618225', '4741216', '4742918', '4885241', '5275059', '5317075', '5385852'], ['1003000', '1005576', '1007305', '1007914', '1008732', '1009931', '1012039', '1014278', '1016003', '1016486', '1018136', '1019568', '1020959', '1022632', '1025723', '1026655', '1029111', '1031741', '1037954', '1040771', '1043008', '1044663', '1046265', '1048610', '1051797', '1056295', '1059419', '1061367', '1064275', '1069059', '1070851', '1075495', '1078554', '1082138', '1082334', '1082522', '1084082', '1085799', '1088022', '1089243', '1096790', '1125186', '1143694', '1180102', '1200840', '1205372', '1220853', '1261153', '1292416', '1324985', '1400707', '1419736', '1427302', '1433700', '1442678', '1458164', '1460313', '1473250', '1703544', '1775691', '1794620', '1851385', '1858576', '1860750', '1917078', '1927902', '2026939', '2035162', '2056749', '2133254', '2143732', '2194123', '2243213', '2257188', '2309689', '2377012', '3012517', '3073494', '3211779', '3266345', '3315879', '3344676', '3608235', '3615061', '3646172', '3886010', '3995526', '4011440', '4112874', '4238362', '4618225', '4885241', '5385852']]"
性关系,"[['1005576', '1017143', '1028780', '1056295', '1083428', '1090043', '1141406', '1223845', '1324985', '1968643', '2143304', '3080607', '3886010'], ['1028780', '1090043', '1324985', '3080607']]"
性价比,"[['1021056', '3682204'], []]"
性解放,"[['1004322'], []]"
性近,"[['1030470'], []]"
性牛,"[['1319345'], []]"
性启蒙,"[['1046265', '1080309', '1927782'], ['1927782']]"
性情中人,"[['1068920'], []]"
性生活,"[['1013225', '1205054', '1255288', '1876333', '2345727'], ['1255288']]"
性小說,"[['1008074', '1400705', '1468393'], ['1468393']]"
性学,"[['1004322'], []]"
性压抑,"[['2243213'], []]"
性与爱,"[['1017143', '1046265', '2267883'], ['2267883']]"
性知识,"[['1417905'], []]"
性质,"[['1001193', '1005193', '1008074', '1009160', '1013129', '1015767', '1017143', '1022060', '1029111', '1030054', '1031740', '1036541', '1039840', '1044663', '1046265', '1048007', '1059537', '1062134', '1076045', '1079252', '1079680', '1089243', '1223845', '1317301', '1400705', '1417905', '1456034', '1794202', '1915337', '3672237', '4011440', '5289756'], ['1008074', '1015767', '1029111', '1036541', '1046265', '1062134', '1079680', '1317301', '1456034', '3672237']]"
姓鲁,"[['1028404'], []]"
姓名,"[['1080309', '1772786', '1786670'], ['1786670']]"
姓皮,"[['1028404'], []]"
姓王,"[['1082407', '1082577', '1151876'], ['1151876']]"
兄,"[['1017143', '1018577', '1021193', '1032581', '1045466', '1057197', '1082387', '1261153', '1316622', '1321017', '1321018', '1358873', '1452923', '1468493', '1478487', '1812439', '1858576', '1882933', '1914572', '1916726', '1926103', '1938591', '1948901', '2057285', '2149655', '2158189', '2265312', '2298149', '2340300', '3191044', '3266344', '3800166'], ['1021193', '1057197', '1316622', '1358873', '1478487', '1882933', '1926103', '2057285', '2265312', '3191044']]"
兄爱,"[['1069848'], []]"
兄弟,"[['1000517', '1088065', '1449348', '1449351'], ['1449348']]"
兄弟会,"[['4171951'], []]"
兄妹,"[['1065970', '1401840'], []]"
凶残,"[['1003284', '1006560', '1008145', '1016300', '1016523', '1018136', '1020459', '1022060', '1023500', '1024854', '1029159', '1029791', '1033825', '1041111', '1044663', '1046265', '1049189', '1051440', '1059336', '1059419', '1061977', '1074841', '1082154', '1082406', '1082518', '1089509', '1089510', '1119839', '1180102', '1255288', '1322158', '1401425', '1401840', '1431880', '1439216', '1439894', '1440345', '1458186', '1458188', '1465324', '1480980', '1529893', '1767388', '1786670', '1873281', '1914572', '1926700', '1948502', '1963310', '2062200', '2143732', '2336093', '2339950', '2584971', '2971734', '3259440', '3274851', '3315879', '3598313', '3615061', '3801097', '3890174', '4009552', '4011440', '5366275'], ['1008145', '1018136', '1023500', '1029791', '1044663', '1051440', '1061977', '1082406', '1089510', '1255288', '1401840', '1439894', '1458188', '1529893', '1873281', '1948502', '2143732', '2584971', '3274851', '3615061', '4009552']]"
凶恶,"[['1030054', '1054685', '1076045', '1485495', '1915337', '1926700', '2297697', '3315879', '3608235'], ['1076045', '1926700', '3608235']]"
凶犯,"[['1005279', '1016300', '1024217', '1028270', '1028916', '1458188', '1469051', '1470133', '1764915', '2284090', '3055316'], ['1024217', '1458188', '1764915']]"
凶人,"[['1057601', '2282081'], []]"
匈,"[['1270508'], []]"
匈牙利,"[['1270508', '2265995', '3315879', '3442373'], ['3315879']]"
雄彥,"[['1221515', '1337297'], []]"
雄漫畫,"[['1204889'], []]"
雄彦,"[['1221515', '1337297', '1467535'], ['1467535']]"
雄壮,"[['1022060', '1082369', '5363767'], ['5363767']]"
熊达云,"[['1022238'], []]"
熊猫,"[['1002299', '1023500', '1058234', '1065970', '1209078', '1255625', '1312333', '1358413', '1440089'], ['1058234', '1255625', '1440089']]"
休刊,"[['1791390'], []]"
休閒,"[['1343089', '1344548', '2258803'], ['2258803']]"
修伯,"[['1003078', '1021615'], []]"
修不懂,"[['1036541'], []]"
修辞,"[['1729284'], []]"
修订,"[['1001896', '1003000', '2294993'], ['2294993']]"
修订版,"[['1003000', '2294993'], []]"
修订本,"[['1001896'], []]"
修房,"[['1070711', '2036343'], []]"
修房子,"[['1070711', '2036343'], []]"
修非,"[['2340100'], []]"
修改,"[['1004821', '1009393', '1011754', '1014561', '1016058', '1016300', '1022060', '1026036', '1032501', '1079509', '1082138', '1201821', '1213546', '1427825', '1764991', '1868698', '1948502', '2052596', '2136484'], ['1011754', '1016300', '1032501', '1201821', '1764991', '2052596']]"
修改版,"[['1948502'], []]"
修会,"[['1040771'], []]"
修课,"[['1020128', '1033778', '1041482', '1292227'], ['1041482']]"
修理,"[['1440885'], []]"
修炼,"[['1005193', '1005576', '1013208', '1021056', '1048007', '1313124', '1418180', '1427679', '1436707', '1456524', '1775691', '1827578', '1902628', '2133074', '2256039', '2340100', '2348372', '2359003', '2363651', '3123393', '3609132', '3622904'], ['1013208', '1313124', '1436707', '1827578', '2256039', '2359003', '3609132']]"
修练,"[['1941558', '3682204'], []]"
修罗,"[['1004956', '1292416', '1467333', '1959786'], ['1467333']]"
修梦,"[['3608208'], []]"
修身齐家,"[['1056295', '1060774'], []]"
修生,"[['2133074'], []]"
修史,"[['1867064'], []]"
修司,"[['3088496'], []]"
修为,"[['1859649'], []]"
修闲,"[['1070711'], []]"
修宪史,"[['1762869'], []]"
修心,"[['1023045', '1037602', '1048007', '1427679', '1436707', '1456524', '1844629', '1868786', '1981355', '2033081', '2250587', '2256039', '2340100', '2363651', '3311009'], ['1048007', '1456524', '1981355', '2256039', '3311009']]"
修行,"[['1003000', '1005193', '1048007', '1050743', '1170801', '1223845', '1859649', '1902628', '1963912', '2035162', '2340100', '2359003', '3123393', '3151990', '3369600', '3622904', '3642673', '4124727'], ['1048007', '1223845', '1963912', '2359003', '3369600', '4124727']]"
修养,"[['1005193', '1012561', '1013208', '1014561', '1021056', '1023045', '1027247', '1033778', '1035326', '1037602', '1044316', '1045818', '1047138', '1048007', '1050743', '1054917', '1056295', '1060774', '1069885', '1075538', '1205372', '1209899', '1322025', '1427679', '1436707', '1456524', '1775691', '1844629', '1863930', '1868786', '1927902', '1931318', '1949121', '1981355', '2033081', '2133074', '2136484', '2250587', '2256039', '2275502', '2309689', '2340100', '2359003', '2363651', '3000997', '3547099', '3622904', '4749115', '5317075'], ['1013208', '1023045', '1035326', '1045818', '1050743', '1060774', '1205372', '1427679', '1775691', '1868786', '1949121', '2133074', '2256039', '2340100', '3000997', '4749115']]"
修養,"[['1729284', '3644791'], []]"
嗅,"[['1030052', '1063190', '1902628', '2256438', '3667783'], ['1902628']]"
嗅觉,"[['1292416'], []]"
