Token,Index
0,"[['1002299', '1004088', '1004821', '1004956', '1007914', '1008357', '1009257', '1009459', '1009938', '1010362', '1013129', '1013380', '1014533', '1016003', '1016063', '1017143', '1017563', '1018136', '1019568', '1020459', '1024197', '1024217', '1026425', '1028270', '1028780', '1028916', '1036067', '1036274', '1036684', '1038267', '1039487', '1040771', '1046172', '1046265', '1049361', '1051663', '1051797', '1059406', '1060117', '1062326', '1071241', '1075492', '1075743', '1082154', '1082518', '1084336', '1087758', '1089512', '1089517', '1089523', '1119522', '1141406', '1212080', '1212453', '1255625', '1258489', '1258490', '1263399', '1277981', '1292227', '1292416', '1317301', '1329959', '1330009', '1394364', '1432596', '1442620', '1704006', '1772786', '1858513', '1874961', '1917972', '1949068', '2008284', '2056749', '2242461', '2242467', '2250587', '2267630', '2297697', '2297706', '2971734', '3053207', '3102324', '3140801', '3181927', '3187737', '3187750', '3259440', '3347997', '3615061', '3646172', '3801097', '3865832', '3995526', '4067621', '4152754', '4264003', '4741216', '5289756'], ['1004821', '1008357', '1009938', '1013380', '1016063', '1018136', '1024197', '1028270', '1036067', '1038267', '1046172', '1051663', '1060117', '1075492', '1082518', '1089512', '1119522', '1212453', '1258490', '1292227', '1329959', '1432596', '1772786', '1917972', '2056749', '2250587', '2297706', '3102324', '3187737', '3347997', '3801097', '4067621', '4741216']]"
0.5,"[['1005492'], []]"
00,"[['1013267', '1014561', '1015767', '1088472', '1225977', '1394364', '1474688'], ['1015767', '1394364']]"
0002,"[['1084336'], []]"
001,"[['1012611'], []]"
0096,"[['1433379'], []]"
00annbaby,"[['1023048'], []]"
00s,"[['2139305', '3609132'], []]"
01,"[['1005918', '1006560', '1008145', '1009160', '1012242', '1013380', '1014561', '1015452', '1015767', '1016300', '1017143', '1019428', '1020670', '1020959', '1025336', '1026425', '1029791', '1031740', '1031818', '1033778', '1034279', '1039752', '1039840', '1040211', '1045818', '1045926', '1046265', '1048007', '1049189', '1049215', '1049584', '1054889', '1057244', '1058234', '1059406', '1059419', '1061118', '1065970', '1079252', '1080687', '1082138', '1082154', '1087758', '1220219', '1225977', '1255625', '1264579', '1283273', '1291355', '1291809', '1292416', '1394364', '1400705', '1401425', '1417905', '1440885', '1468493', '1480980', '1529893', '1703544', '1807516', '1863930', '1867064', '1926700', '1939182', '1949925', '2032117', '2158189', '2160292', '2174013', '2214350', '2243213', '2265995', '2336093', '2584971', '3006581', '3013903', '3187750', '3223711', '3347997', '3392046', '3813669', '4618225', '5363767'], ['1008145', '1013380', '1015767', '1019428', '1025336', '1031740', '1034279', '1040211', '1046265', '1049215', '1057244', '1059419', '1079252', '1082154', '1225977', '1283273', '1292416', '1401425', '1468493', '1703544', '1867064', '1949925', '2160292', '2243213', '2584971', '3187750', '3392046', '5363767']]"
010,"[['1052203', '1456524', '3901238', '4011440'], ['3901238']]"
010Literature,"[['1858513'], []]"
01Fashion,"[['1941558'], []]"
01front,"[['1011754', '1013225', '1033825'], ['1033825']]"
01read,"[['1000482', '1007305', '1008145'], ['1008145']]"
01readI,"[['1223575'], []]"
02,"[['1007928', '1009257', '1015699', '1024701', '1049189', '1057601', '1072438', '1077528', '1228110', '2009825', '2064450'], ['1015699', '1057601', '1228110']]"
023,"[['1004322', '1005521', '1008074', '1008145', '1011754', '1011977', '1012032', '1013225', '1014561', '1023709', '1025336', '1027587', '1033825', '1034282', '1039840', '1049361', '1051363', '1057244', '1059112', '1064271', '1075492', '1075743', '1080309', '1082584', '1088065', '1088581', '1433379', '1465324', '1786670', '1803022', '1859649', '2026939', '2033081', '2042966', '2052596', '2081509', '2136484'], ['1008074', '1011977', '1014561', '1027587', '1039840', '1057244', '1075492', '1082584', '1433379', '1803022', '2033081', '2081509']]"
02drunkpianoRecommendList,"[['3813669'], []]"
02front,"[['1013225', '1017143'], []]"
03,"[['1000594', '1003000', '1006560', '1010464', '1011662', '1016300', '1017143', '1035362', '1047447', '1074841', '1077497', '1079440', '1101607', '1436348', '1482200', '1916726', '2233893', '4112874', '4124727', '4238362'], ['1006560', '1016300', '1047447', '1079440', '1482200', '4112874']]"
03Milan,"[['1017143'], []]"
03Psychology,"[['3908032'], []]"
04,"[['1000482', '1001885', '1003479', '1006560', '1008145', '1008357', '1015403', '1016300', '1018136', '1022238', '1024217', '1025723', '1026036', '1029553', '1040771', '1041482', '1049688', '1059406', '1059769', '1061118', '1063624', '1066165', '1075743', '1082582', '1084082', '1089243', '1209078', '1337292', '1337303', '2026939', '2081509', '2214344', '2256039', '2971734', '4124727'], ['1003479', '1008357', '1018136', '1025723', '1040771', '1059406', '1063624', '1082582', '1209078', '2026939', '2256039']]"
05,"[['1003284', '1006881', '1007334', '1010204', '1014578', '1015767', '1016806', '1018577', '1025723', '1030052', '1034108', '1041550', '1043201', '1051163', '1054685', '1059336', '1059769', '1063190', '1064271', '1069885', '1070711', '1083375', '1220853', '1292416', '1331571', '1424373', '1789837', '1819974', '2034893', '2053249', '2067299', '2250587', '2339950', '2380307', '3392046'], ['1007334', '1015767', '1025723', '1041550', '1054685', '1063190', '1070711', '1292416', '1789837', '2053249', '2339950']]"
052009read,"[['1017143'], []]"
05N,"[['1040771'], []]"
05Novel,"[['1032581'], []]"
05bookuu,"[['4011440'], []]"
05shu,"[['1061118'], []]"
06,"[['1000280', '1011882', '1014825', '1015584', '1017143', '1022238', '1024701', '1027191', '1044663', '1046265', '1057601', '1059336', '1059406', '1061118', '1062193', '1088022', '1310164', '1343089', '1400705', '1401795', '1424741', '1433050', '1449661', '1459149', '1460313', '1465324', '1469051', '1762869', '1794620', '1812439', '1876333', '1914636', '1917972', '1941558', '2256438', '2294740', '2295163', '2988943', '3055316'], ['1014825', '1022238', '1044663', '1059336', '1062193', '1343089', '1424741', '1459149', '1469051', '1812439', '1917972', '2294740', '3055316']]"
06Photography,"[['1270508'], []]"
06Turkey,"[['1851385'], []]"
06read,"[['1020241', '1033778', '1041482', '1046265', '1049215'], ['1041482']]"
06readOnTheRoad02,"[['1054889'], []]"
07,"[['1000280', '1001896', '1004956', '1007305', '1008145', '1008357', '1009257', '1009393', '1010362', '1011662', '1012203', '1012611', '1012637', '1013129', '1013208', '1013416', '1013502', '1016058', '1016063', '1017841', '1019568', '1020459', '1021847', '1023045', '1024217', '1026036', '1026411', '1026425', '1028916', '1029159', '1031575', '1033825', '1034108', '1035477', '1036541', '1036684', '1037602', '1038267', '1039487', '1041007', '1041482', '1043008', '1043815', '1045818', '1046172', '1046209', '1046265', '1046385', '1047851', '1049584', '1049688', '1051193', '1051797', '1052828', '1053759', '1055486', '1056733', '1061367', '1062326', '1063190', '1065970', '1066462', '1070441', '1070711', '1070851', '1071241', '1072438', '1072842', '1079440', '1080309', '1082138', '1082150', '1082162', '1082518', '1082522', '1084336', '1084973', '1085799', '1085883', '1088065', '1090043', '1092149', '1141406', '1151873', '1159939', '1201821', '1213546', '1255288', '1255625', '1281622', '1316648', '1336968', '1346815', '1358413', '1358416', '1367458', '1367964', '1398395', '1418686', '1420862', '1433379', '1448761', '1449348', '1449351', '1459149', '1467022', '1469051', '1470158', '1470159', '1547265', '1767945', '1781120', '1786670', '1794844', '1856025', '1859649', '1867642', '1873231', '1903968', '1915337', '1919072', '1949338', '2008284', '2061644', '2081876', '2082194', '2133254', '2139305', '2256438', '3111928'], ['1004956', '1008357', '1010362', '1012611', '1013208', '1016058', '1019568', '1023045', '1026411', '1029159', '1034108', '1036684', '1039487', '1043008', '1046172', '1046385', '1049688', '1052828', '1056733', '1063190', '1070441', '1071241', '1079440', '1082150', '1082522', '1085799', '1090043', '1151873', '1213546', '1281622', '1346815', '1367458', '1418686', '1448761', '1459149', '1470158', '1767945', '1794844', '1867642', '1915337', '2008284', '2082194', '2256438']]"
0704,"[['1981355'], []]"
070910,"[['1343089'], []]"
0710death,"[['1049688'], []]"
0711,"[['1006560'], []]"
072008,"[['2275502'], []]"
0770,"[['4238362'], []]"
07BJ,"[['1914636'], []]"
